Date,Interest Rates (Fed Funds Rate),Inflation (CPI),GDP Growth Rate,M2 Money Supply,Federal Expenditures,Unemployment Rate
2011-04-01,0.1,224.093,2.7,9030.4,3849.377,9.1
2011-05-01,0.09,224.806,2.7,9102.7,3849.377,9.0
2011-06-01,0.09,224.806,2.7,9176.7,3849.377,9.1
2011-07-01,0.07,225.395,-0.1,9338.7,3783.833,9.0
2011-08-01,0.1,226.106,-0.1,9525.1,3783.833,9.0
2011-09-01,0.08,226.597,-0.1,9545.3,3783.833,9.0
2011-10-01,0.07,226.75,4.6,9578.1,3786.528,8.8
2011-11-01,0.08,227.169,4.6,9629.8,3786.528,8.6
2011-12-01,0.07,227.223,4.6,9677.4,3786.528,8.5
2012-01-01,0.08,227.842,3.4,9750.5,3774.344,8.3
2012-02-01,0.1,228.329,3.4,9802.2,3774.344,8.3
2012-03-01,0.13,228.807,3.4,9846.2,3774.344,8.2
2012-04-01,0.14,229.187,1.8,9899.8,3772.867,8.2
2012-05-01,0.16,228.713,1.8,9943.0,3772.867,8.2
2012-06-01,0.16,228.524,1.8,10013.0,3772.867,8.2
2012-07-01,0.16,228.59,0.6,10065.7,3777.299,8.2
2012-08-01,0.13,229.918,0.6,10136.4,3777.299,8.1
2012-09-01,0.14,231.015,0.6,10216.6,3777.299,7.8
2012-10-01,0.16,231.638,0.5,10282.8,3769.503,7.8
2012-11-01,0.16,231.249,0.5,10351.8,3769.503,7.7
2012-12-01,0.16,231.221,0.5,10474.4,3769.503,7.9
2013-01-01,0.14,231.679,4.0,10497.6,3758.798,8.0
2013-02-01,0.15,232.937,4.0,10516.6,3758.798,7.7
2013-03-01,0.14,232.282,4.0,10572.9,3758.798,7.5
2013-04-01,0.15,231.797,1.1,10600.4,3776.035,7.6
2013-05-01,0.11,231.893,1.1,10634.7,3776.035,7.5
2013-06-01,0.09,232.445,1.1,10692.3,3776.035,7.5
2013-07-01,0.09,232.9,3.5,10731.5,3773.724,7.3
2013-08-01,0.08,233.456,3.5,10789.6,3773.724,7.2
2013-09-01,0.08,233.544,3.5,10850.0,3773.724,7.2
2013-10-01,0.09,233.669,3.5,10974.2,3772.463,7.2
2013-11-01,0.08,234.1,3.5,10982.9,3772.463,6.9
2013-12-01,0.09,234.719,3.5,11047.8,3772.463,6.7
2014-01-01,0.07,235.288,-1.4,11117.6,3819.402,6.6
2014-02-01,0.07,235.547,-1.4,11183.2,3819.402,6.7
2014-03-01,0.08,236.028,-1.4,11219.1,3819.402,6.7
2014-04-01,0.09,236.468,5.3,11264.0,3876.072,6.2
2014-05-01,0.09,236.918,5.3,11328.5,3876.072,6.3
2014-06-01,0.1,237.231,5.3,11383.7,3876.072,6.1
2014-07-01,0.09,237.498,5.0,11438.4,3931.623,6.2
2014-08-01,0.09,237.46,5.0,11462.5,3931.623,6.1
2014-09-01,0.09,237.477,5.0,11503.7,3931.623,5.9
2014-10-01,0.09,237.43,2.0,11577.5,3926.651,5.7
2014-11-01,0.09,236.983,2.0,11618.2,3926.651,5.8
2014-12-01,0.12,236.252,2.0,11701.9,3926.651,5.6
2015-01-01,0.11,234.747,3.6,11774.2,3970.21,5.7
2015-02-01,0.11,235.342,3.6,11880.4,3970.21,5.5
2015-03-01,0.11,235.976,3.6,11892.9,3970.21,5.4
2015-04-01,0.12,236.222,2.5,11932.5,3990.778,5.4
2015-05-01,0.12,237.001,2.5,11963.8,3990.778,5.6
2015-06-01,0.13,237.657,2.5,12011.1,3990.778,5.3
2015-07-01,0.13,238.034,1.6,12061.1,4011.91,5.2
2015-08-01,0.14,238.033,1.6,12110.8,4011.91,5.1
2015-09-01,0.14,237.498,1.6,12170.3,4011.91,5.0
2015-10-01,0.12,237.733,0.7,12211.2,4050.403,5.0
2015-11-01,0.12,238.017,0.7,12301.0,4050.403,5.1
2015-12-01,0.24,237.761,0.7,12361.5,4050.403,5.0
2016-01-01,0.34,237.652,2.3,12490.8,4084.292,4.8
2016-02-01,0.38,237.336,2.3,12557.6,4084.292,4.9
2016-03-01,0.36,238.08,2.3,12620.2,4084.292,5.0
2016-04-01,0.37,238.992,1.3,12703.7,4101.647,5.1
2016-05-01,0.37,239.557,1.3,12775.9,4101.647,4.8
2016-06-01,0.38,240.222,1.3,12841.1,4101.647,4.9
2016-07-01,0.39,240.101,2.9,12902.2,4150.5,4.8
2016-08-01,0.4,240.545,2.9,12988.9,4150.5,4.9
2016-09-01,0.4,241.176,2.9,13047.9,4150.5,5.0
2016-10-01,0.4,241.741,2.2,13112.8,4175.46,4.9
2016-11-01,0.41,242.026,2.2,13182.4,4175.46,4.7
2016-12-01,0.54,242.637,2.2,13215.3,4175.46,4.7
2017-01-01,0.65,243.618,2.0,13286.4,4192.262,4.7
2017-02-01,0.66,244.006,2.0,13351.2,4192.262,4.6
2017-03-01,0.79,243.892,2.0,13420.1,4192.262,4.4
2017-04-01,0.9,244.193,2.3,13481.0,4195.549,4.4
2017-05-01,0.91,244.004,2.3,13539.7,4195.549,4.4
2017-06-01,1.04,244.163,2.3,13564.1,4195.549,4.3
2017-07-01,1.15,244.243,3.2,13628.9,4253.985,4.3
2017-08-01,1.16,245.183,3.2,13688.0,4253.985,4.4
2017-09-01,1.15,246.435,3.2,13733.8,4253.985,4.3
2017-10-01,1.15,246.626,4.6,13788.5,4320.383,4.2
2017-11-01,1.16,247.284,4.6,13814.7,4320.383,4.2
2017-12-01,1.3,247.805,4.6,13860.3,4320.383,4.1
2018-01-01,1.41,248.859,3.3,13869.2,4398.501,4.0
2018-02-01,1.42,249.529,3.3,13907.3,4398.501,4.1
2018-03-01,1.51,249.577,3.3,13966.4,4398.501,4.0
2018-04-01,1.69,250.227,2.1,13989.3,4453.783,4.0
2018-05-01,1.7,250.792,2.1,14055.7,4453.783,3.8
2018-06-01,1.82,251.018,2.1,14117.5,4453.783,4.0
2018-07-01,1.91,251.214,2.5,14157.0,4512.225,3.8
2018-08-01,1.91,251.663,2.5,14206.0,4512.225,3.8
2018-09-01,1.95,252.182,2.5,14238.2,4512.225,3.7
2018-10-01,2.19,252.772,0.6,14248.1,4593.407,3.8
2018-11-01,2.2,252.594,0.6,14258.7,4593.407,3.8
2018-12-01,2.27,252.767,0.6,14369.9,4593.407,3.9
2019-01-01,2.4,252.561,2.5,14432.7,4687.997,4.0
2019-02-01,2.4,253.319,2.5,14470.5,4687.997,3.8
2019-03-01,2.41,254.277,2.5,14513.9,4687.997,3.8
2019-04-01,2.42,255.233,3.4,14548.1,4734.95,3.7
2019-05-01,2.39,255.296,3.4,14660.8,4734.95,3.6
2019-06-01,2.38,255.213,3.4,14782.9,4734.95,3.6
2019-07-01,2.4,255.802,4.8,14865.4,4773.268,3.7
2019-08-01,2.13,256.036,4.8,14947.6,4773.268,3.6
2019-09-01,2.04,256.43,4.8,15039.5,4773.268,3.5
2019-10-01,1.83,257.155,2.8,15174.6,4796.274,3.6
2019-11-01,1.55,257.879,2.8,15273.3,4796.274,3.6
2019-12-01,1.55,258.63,2.8,15334.3,4796.274,3.6
2020-01-01,1.55,259.127,-5.5,15401.3,4863.379,3.6
2020-02-01,1.58,259.25,-5.5,15453.8,4863.379,3.5
2020-03-01,0.65,258.076,-5.5,15980.6,4863.379,4.4
2020-04-01,0.05,256.032,-28.1,16999.0,8884.291,14.8
2020-05-01,0.05,255.802,-28.1,17868.4,8884.291,13.2
2020-06-01,0.08,257.042,-28.1,18161.5,8884.291,11.0
2020-07-01,0.09,258.352,35.2,18311.4,7161.943,10.2
2020-08-01,0.1,259.316,35.2,18382.2,7161.943,8.4
2020-09-01,0.09,259.997,35.2,18606.8,7161.943,7.8
2020-10-01,0.09,260.319,4.4,18758.1,5922.407,6.9
2020-11-01,0.09,260.911,4.4,18973.3,5922.407,6.7
2020-12-01,0.09,262.045,4.4,19110.3,5922.407,6.7
2021-01-01,0.09,262.639,5.6,19335.0,8312.268,6.4
2021-02-01,0.08,263.573,5.6,19571.2,8312.268,6.2
2021-03-01,0.07,264.847,5.6,19810.0,8312.268,6.1
2021-04-01,0.07,266.625,6.4,20133.3,7728.092,6.1
2021-05-01,0.06,268.404,6.4,20437.8,7728.092,5.8
2021-06-01,0.08,270.71,6.4,20482.0,7728.092,5.9
2021-07-01,0.1,271.965,3.5,20633.7,6784.496,5.4
2021-08-01,0.09,272.752,3.5,20844.5,6784.496,5.1
2021-09-01,0.08,273.942,3.5,20974.0,6784.496,4.7
2021-10-01,0.08,276.528,7.4,21153.9,6225.498,4.5
2021-11-01,0.08,278.824,7.4,21327.7,6225.498,4.2
2021-12-01,0.08,280.806,7.4,21508.0,6225.498,3.9
2022-01-01,0.08,282.542,-1.0,21566.6,5997.292,4.0
2022-02-01,0.08,284.525,-1.0,21621.3,5997.292,3.8
2022-03-01,0.2,287.467,-1.0,21723.5,5997.292,3.7
2022-04-01,0.33,288.582,0.3,21724.3,6068.545,3.7
2022-05-01,0.77,291.299,0.3,21698.0,6068.545,3.6
2022-06-01,1.21,295.072,0.3,21653.6,6068.545,3.6
2022-07-01,1.68,294.94,2.7,21645.8,6181.478,3.5
2022-08-01,2.33,295.162,2.7,21627.9,6181.478,3.6
2022-09-01,2.56,296.421,2.7,21509.0,6181.478,3.5
2022-10-01,3.08,297.979,3.4,21434.4,6317.107,3.6
2022-11-01,3.78,298.708,3.4,21368.1,6317.107,3.6
2022-12-01,4.1,298.808,3.4,21273.9,6317.107,3.5
2023-01-01,4.33,300.456,2.8,21189.1,6409.685,3.5
2023-02-01,4.57,301.476,2.8,21120.1,6409.685,3.6
2023-03-01,4.65,301.643,2.8,20874.8,6409.685,3.5
2023-04-01,4.83,302.858,2.4,20718.2,6444.696,3.4
2023-05-01,5.06,303.316,2.4,20812.5,6444.696,3.6
2023-06-01,5.08,304.099,2.4,20797.6,6444.696,3.6
2023-07-01,5.12,304.615,4.4,20773.4,6527.403,3.5
2023-08-01,5.33,306.138,4.4,20750.2,6527.403,3.7
2023-09-01,5.33,307.374,4.4,20700.1,6527.403,3.8
2023-10-01,5.33,307.653,3.2,20688.1,6619.838,3.9
2023-11-01,5.33,308.087,3.2,20706.2,6619.838,3.7
2023-12-01,5.33,308.735,3.2,20759.3,6619.838,3.8
